id,img,title,link,price,address,time_created
1940945902,https://03.img.avito.st/208x156/8804002103.jpg,"2-к квартира, 49 м², 4/5 эт.",https://www.avito.ru/tyumen/kvartiry/2-k_kvartira_49_m_45_et._1940945902,2964000,"
 Камчатская ул., 1
  р-н Ленинский","
 21 минуту назад
"
1889607515,https://09.img.avito.st/208x156/8320963309.jpg,"1-к квартира, 40 м², 2/4 эт.",https://www.avito.ru/tyumen/kvartiry/1-k_kvartira_40_m_24_et._1889607515,2470000,"
 микрорайон Тарманы, ул. Малышева, 16/2
  р-н Ленинский","
 33 минуты назад
"
1868666083,https://00.img.avito.st/208x156/8017578400.jpg,"1-к квартира, 42 м², 17/18 эт.",https://www.avito.ru/tyumen/kvartiry/1-k_kvartira_42_m_1718_et._1868666083,2400000,"
 ул. 50 лет Октября, д. 75, корп. 2
  р-н Ленинский","
 28 минут назад
"
1935445852,https://50.img.avito.st/208x156/8803905050.jpg,"1-к квартира, 41.3 м², 15/20 эт.",https://www.avito.ru/tyumen/kvartiry/1-k_kvartira_41.3_m_1520_et._1935445852,2350000,"
 ул. 50 лет Октября, д. 75, корп. 2
  р-н Ленинский","
 36 минут назад
"
1949470003,https://73.img.avito.st/208x156/8623447873.jpg,"2-к квартира, 56 м², 1/16 эт.",https://www.avito.ru/tyumen/kvartiry/2-k_kvartira_56_m_116_et._1949470003,3650000,"
 ул. Революции, стр. 228, корп. 4
  р-н Калининский","
 35 минут назад
"
1941521044,https://65.img.avito.st/208x156/8803876665.jpg,"1-к квартира, 36 м², 4/5 эт.",https://www.avito.ru/tyumen/kvartiry/1-k_kvartira_36_m_45_et._1941521044,2410000,"
 Ткацкий пр., 10
  р-н Восточный","
 38 минут назад
"
1939154546,https://www.avito.ru/tyumen/kvartiry/prodam-ASgBAgICAUSSA8YQ?cd=1,"2-к квартира, 64 м², 4/9 эт.",https://www.avito.ru/tyumen/kvartiry/2-k_kvartira_64_m_49_et._1939154546,5900000,"
 ул. 50 лет Октября
  р-н Ленинский","
 35 минут назад
"
1953403144,https://66.img.avito.st/208x156/8803774766.jpg,"1-к квартира, 43.3 м², 10/14 эт.",https://www.avito.ru/tyumen/kvartiry/1-k_kvartira_43.3_m_1014_et._1953403144,3550000,"
 д. Дударева, ул. Созидателей
  ","
 40 минут назад
"
1934770097,https://38.img.avito.st/208x156/8803850338.jpg,"1-к квартира, 41.8 м², 12/14 эт.",https://www.avito.ru/tyumen/kvartiry/1-k_kvartira_41.8_m_1214_et._1934770097,3170000,"
 Широтная ул., 172к3
  р-н Восточный","
 40 минут назад
"
636472573,https://41.img.avito.st/208x156/1899905641.jpg,"2-к квартира, 62 м², 10/16 эт.",https://www.avito.ru/tyumen/kvartiry/2-k_kvartira_62_m_1016_et._636472573,5100000,"
 ул. Водников
  р-н Центральный","
 43 минуты назад
"
1904908397,https://02.img.avito.st/208x156/8324172002.jpg,"2-к квартира, 76 м², 2/9 эт.",https://www.avito.ru/tyumen/kvartiry/2-k_kvartira_76_m_29_et._1904908397,4900000,"
 ул. 30 лет Победы, 148к3
  р-н Восточный","
 48 минут назад
"
1797651865,https://37.img.avito.st/208x156/6060879337.jpg,"4-к квартира, 76 м², 5/5 эт.",https://www.avito.ru/tyumen/kvartiry/4-k_kvartira_76_m_55_et._1797651865,5200000,"
 Калининский округ, Садовая ул., 121Б
  р-н Калининский","
 53 минуты назад
"
1938332732,https://09.img.avito.st/208x156/8637088809.jpg,"Студия, 16 м², 8/9 эт.",https://www.avito.ru/tyumen/kvartiry/studiya_16_m_89_et._1938332732,1550000,"
 ул. 30 лет Победы
  р-н Восточный","
 54 минуты назад
"
1930033996,https://84.img.avito.st/208x156/8637295484.jpg,"2-к квартира, 64.5 м², 7/9 эт.",https://www.avito.ru/tyumen/kvartiry/2-k_kvartira_64.5_m_79_et._1930033996,4300000,"
 Широтная ул., 104к2
  р-н Восточный","
 55 минут назад
"
1930440089,https://56.img.avito.st/208x156/8631343356.jpg,"1-к квартира, 43 м², 12/15 эт.",https://www.avito.ru/tyumen/kvartiry/1-k_kvartira_43_m_1215_et._1930440089,3200000,"
 ул. Бориса Опрокиднева, 12
  р-н Восточный","
 58 минут назад
"
1916317238,https://28.img.avito.st/208x156/8617055828.jpg,"3-к квартира, 65.5 м², 2/10 эт.",https://www.avito.ru/tyumen/kvartiry/3-k_kvartira_65.5_m_210_et._1916317238,4100000,"
 Ямская ул., 73к2
  р-н Калининский","
 59 минут назад
"
